contract_id,published_date,start_date,duration_extension,outcome,second_place_outcome,buyer,region,atc,duration,contract_type,sku,end_date_extension,participants_no,quantity_annual,quantity_total,maximum_price_allowed,active_ingredient,pack_strength,participants,participants_price,published_date_month,winner,winner_price,second_place,second_place_price
1,2013-05-16,2013-05-24,10,won,,buyer_1,region_1,C07AB07,39,regional,molecule_x_10mg_tablet,2017-06-30,1,9860,32966.51108466745,0.1,molecule_x,10mg,participants_16,0.0004,2013-05-01,participants_16,0.0004,,
2,2013-04-29,2013-06-21,0,won,,buyer_2,region_2,C07AB07,48,wide area,molecule_x_10mg_tablet,2017-06-30,1,54988,220249.442660143,63442.21,molecule_x,10mg,participants_16,0.007,2013-04-01,participants_16,0.007,,
3,2013-06-09,2014-08-14,6,won,lost,buyer_3,region_3,C07AB07,12,regional,molecule_x_10mg_tablet,2016-02-14,2,1904,2680.639219211316,0.11635,molecule_x,10mg,participants_16|participants_23,0.014|0.07071,2013-06-01,participants_16,0.014,participants_23,0.07071
4,2013-05-04,2013-05-17,19,won,,buyer_4,region_4,C07AB07,36,regional,molecule_x_10mg_tablet,2017-12-31,1,1652,5900.676493613123,0.03,molecule_x,10mg,participants_16,0.025,2013-05-01,participants_16,0.025,,
5,2013-12-18,2013-12-17,6,won,,buyer_5,region_5,C07AB07,36,regional,molecule_x_10mg_tablet,2017-06-30,1,1000,3289.223409578722,0.0001,molecule_x,10mg,participants_16,1e-05,2013-12-01,participants_16,1e-05,,
6,2013-12-06,2014-02-21,14,won,,buyer_6,region_6,C07AB07,48,regional,molecule_x_10mg_tablet,2019-04-20,1,2088,9026.168470095074,0.0255,molecule_x,10mg,participants_16,0.019,2013-12-01,participants_16,0.019,,
7,2014-02-24,2014-01-01,3,won,,buyer_7,region_7,C07AB07,12,regional,molecule_x_10mg_tablet,2015-03-31,1,16490,17282.31383177983,5e-05,molecule_x,10mg,participants_16,1e-05,2014-02-01,participants_16,1e-05,,
8,2014-03-08,2014-05-22,10,won,lost,buyer_8,region_8,C07AB07,36,regional,molecule_x_10mg_tablet,2018-03-22,4,10332,31951.791632038767,0.08,molecule_x,10mg,participants_16|participants_5|participants_6|participants_23,0.03|0.08|0.034|0.04066,2014-03-01,participants_16,0.03,participants_6,0.034
9,2014-03-18,2014-05-30,6,won,,buyer_9,region_9,C07AB07,24,regional,molecule_x_10mg_tablet,2016-11-29,1,17413,35013.91853894217,0.0001,molecule_x,10mg,participants_16,1e-05,2014-03-01,participants_16,1e-05,,
10,2014-09-07,2014-08-31,7,won,,buyer_10,region_10,C07AB07,36,regional,molecule_x_10mg_tablet,2020-03-31,1,3467,10766.58581264971,0.0001,molecule_x,10mg,participants_16,0.0001,2014-09-01,participants_16,0.0001,,
11,2014-08-05,2014-10-30,0,won,lost,buyer_2,region_2,C07AB07,36,regional,molecule_x_10mg_tablet,2018-10-31,3,339387,1018263.1132661788,664493.87,molecule_x,10mg,participants_6|participants_16|participants_23,0.034|0.04305|0.04214,2014-08-01,participants_6,0.034,participants_23,0.04214
12,2015-02-17,2015-01-01,3,won,,buyer_7,region_7,C07AB07,12,regional,molecule_x_10mg_tablet,2016-03-31,1,16490,17107.897624425837,5e-05,molecule_x,10mg,participants_16,5e-05,2015-02-01,participants_16,5e-05,,
13,2016-04-13,2016-06-25,6,won,lost,buyer_11,region_11,C07AB07,36,regional,molecule_x_10mg_tablet,2019-12-24,4,2800,8589.313285066892,0.07971,molecule_x,10mg,participants_6|participants_16|participants_23|participants_24,0.01699|0.07|0.06802|0.075,2016-04-01,participants_6,0.01699,participants_23,0.06802
14,2017-10-20,2017-09-20,3,won,,buyer_12,region_12,C07AB07,48,multi-region,molecule_x_10mg_tablet,2021-12-19,1,75544,302560.0860823963,6647.872,molecule_x,10mg,participants_16,0.02,2017-10-01,participants_16,0.02,,
15,2017-12-01,2018-01-22,12,won,,buyer_13,region_13,C07AB07,36,regional,molecule_x_10mg_tablet,2022-01-21,1,9608,29731.30548432009,0.109,molecule_x,10mg,participants_16,0.05,2017-12-01,participants_16,0.05,,
16,2017-12-29,2018-03-30,26,won,lost,buyer_14,region_4,C07AB07,48,regional,molecule_x_10mg_tablet,2024-05-30,2,14476,58032.68174512516,0.025,molecule_x,10mg,participants_16|participants_4,0.017|0.0242,2017-12-01,participants_16,0.017,participants_4,0.0242
17,2018-05-31,2018-04-01,2,won,lost,buyer_5,region_5,C07AB07,24,multi-region,molecule_x_10mg_tablet,2020-05-31,2,32875,66527.92798335991,0.02,molecule_x,10mg,participants_16|participants_7,0.02|0.9993156095718888,2018-05-01,participants_16,0.02,participants_7,0.9993156095718888
18,2019-05-26,2019-07-02,6,won,lost,buyer_3,region_3,C07AB07,36,regional,molecule_x_10mg_tablet,2023-01-01,2,20993,63904.29401018482,0.022,molecule_x,10mg,participants_16|participants_19,0.02|0.8665684755636098,2019-05-01,participants_16,0.02,participants_19,0.8665684755636098
19,2020-01-01,2020-08-04,0,won,lost,buyer_11,region_11,C07AB07,36,regional,molecule_x_10mg_tablet,2023-08-03,3,2680,8426.46769286538,0.07971,molecule_x,10mg,participants_19|participants_16|participants_23,0.01786|0.07|0.06511,2020-01-01,participants_19,0.01786,participants_23,0.06511
20,2019-12-19,2020-08-04,0,won,lost,buyer_11,region_11,C07AB07,36,regional,molecule_x_10mg_tablet,2023-08-03,3,2680,8833.156206989086,0.07971,molecule_x,10mg,participants_19|participants_16|participants_23,0.01786|0.07|0.06511,2019-12-01,participants_19,0.01786,participants_23,0.06511
21,2020-03-21,2020-06-20,12,won,,buyer_15,region_9,C07AB07,36,multi-region,molecule_x_10mg_tablet,2024-06-19,1,21864,65931.00077991649,0.022,molecule_x,10mg,participants_19,0.01607,2020-03-01,participants_19,0.01607,,
22,2020-06-10,2020-04-29,6,won,,buyer_16,region_5,C07AB07,24,multi-region,molecule_x_10mg_tablet,2022-09-30,1,25750,51752.91832382516,0.02,molecule_x,10mg,participants_19,0.0125,2020-06-01,participants_19,0.0125,,
23,2020-06-20,2020-07-22,0,won,lost,buyer_8,region_8,C07AB07,36,multi-region,molecule_x_10mg_tablet,2023-07-21,3,12040,36740.26824673762,0.04,molecule_x,10mg,participants_19|participants_8|participants_23,0.035|0.038|0.03929,2020-06-01,participants_19,0.035,participants_8,0.038
24,2020-10-11,2020-11-25,0,won,lost,buyer_2,region_2,C07AB07,49,regional,molecule_x_10mg_tablet,2024-12-25,2,288795,1179786.6436388672,963542.28,molecule_x,10mg,participants_19|participants_23,0.0205|0.03929,2020-10-01,participants_19,0.0205,participants_23,0.03929
25,2021-06-09,2021-05-20,0,won,,buyer_17,region_14,C07AB07,48,regional,molecule_x_10mg_tablet,2025-05-19,1,23688,95007.35275064212,0.0125,molecule_x,10mg,participants_19,0.0123,2021-06-01,participants_19,0.0123,,
